enterprise_id,industry,city,district,registered_capital,employees,premises_number,date_out_abnormal,date_in_abnormal,cacellation_reason,is_real_premise,frezon_holdings,total_assets,total_liabilities,total_tax,total_debt,sub_enterprises_number,complaints_number_monthly,conciliation_number,complaints_number,judical_auction_amount,is_executee,industry_index,fraud_score,is_financial_black_list
0001,批发业,邯郸市,成安县,43000000,2354,1,,,2,0,34830000.0,40567492,0,4110468,0,8,0,0,0,0,0,1183,99,1
0002,建筑业,石家庄市,赞皇县,52000000,9151,18,,,3,1,13000000.0,48931655,0,5642913,0,3,8,86,96,0,1,1258,19,1
0003,建筑业,承德市,隆化县,56000000,9953,6,,,1,0,0.0,63220513,0,10149493,0,0,5,15,30,9912927,0,1299,40,0
0004,农、林、牧、渔业,邢台市,任县,11000000,3533,1,2016-09-01 00:00:00,2014-11-19 00:00:00,0,1,8910000.0,11887121,593494,1552602,10308,0,4,5,8,0,1,1242,57,1
0005,其他未列明行业*,廊坊市,三河市,40000000,1300,1,,,3,0,0.0,36789274,0,3594120,0,4,0,0,0,11310942,1,1497,94,0
0006,租赁和商务服务业,廊坊市,文安县,3000000,1610,1,,,2,1,0.0,3229920,1136694,528542,40311,1,0,0,0,0,1,1321,55,1
0007,建筑业,保定市,清苑区,75000000,5591,1,,,0,1,0.0,78703601,0,9693318,0,10,1,3,6,0,0,1131,56,0
0008,软件和信息技术服务业,保定市,博野县,72000000,1616,1,,,4,0,0.0,81849587,15119412,15138001,1358483,0,0,0,0,0,0,1457,31,1
0009,信息传输业*,廊坊市,广阳区,43000000,2764,1,,,1,1,0.0,51438762,0,10009621,0,10,2,7,10,0,1,1234,60,0
0010,工业*,承德市,隆化县,86000000,6013,14,,,1,1,0.0,77673689,22631232,13864408,1891686,6,4,37,48,0,1,1431,49,0
0011,邮政业,秦皇岛市,海港区,27000000,4197,1,,,4,1,0.0,28947265,10621977,364249,913867,2,0,0,0,13955636,0,1461,37,0
0012,交通运输业*,唐山市,路南区,71000000,2329,1,,2015-10-02 00:00:00,4,1,0.0,76883576,0,9872305,0,5,1,2,5,0,1,1262,0,0
0013,物业管理,保定市,顺平县,30000000,3929,4,,,0,1,0.0,27924977,2200241,5580544,208066,7,5,9,50,0,0,1400,5,1
0014,其他未列明行业*,衡水市,桃城区,37000000,4761,2,,,4,0,0.0,43495603,3152224,450007,193733,3,0,0,0,0,0,1033,53,0
0015,房地产开发经营,廊坊市,霸州市,71000000,6890,1,,,3,0,0.0,74558781,0,267260,0,6,3,18,30,0,1,1031,45,1
0016,批发业,邢台市,沙河市,6000000,8190,1,,,4,1,0.0,4857073,0,10327,0,0,0,0,0,0,1,1356,45,1
0017,邮政业,沧州市,运河区,12000000,9230,1,,,4,1,0.0,13817380,0,1058571,0,0,9,0,63,0,1,1298,3,0
0018,农、林、牧、渔业,邯郸市,鸡泽县,1000000,5707,1,,,0,1,0.0,1063935,182792,138242,6869,0,5,42,55,0,0,1221,20,1
0019,餐饮业,衡水市,深州市,56000000,4921,1,2017-05-27 00:00:00,2015-07-28 00:00:00,1,1,0.0,55399769,27430384,12714386,1786568,4,1,3,4,0,1,1451,91,0
